contrast	confound	qc	smoothing	fwhm_mm	expected_subjects	status	effect_map	t_map	fdr_map	error
gain_demean	C0	Q0_all	S0	0	108	complete	outputs/group_maps/gain_demean_C0_Q0_S0_effect.nii.gz	outputs/group_maps/gain_demean_C0_Q0_S0_t.nii.gz	outputs/group_maps/gain_demean_C0_Q0_S0_fdr_q-0p05.nii.gz	
gain_demean	C0	Q0_all	S1	5	108	complete	outputs/group_maps/gain_demean_C0_Q0_S1_effect.nii.gz	outputs/group_maps/gain_demean_C0_Q0_S1_t.nii.gz	outputs/group_maps/gain_demean_C0_Q0_S1_fdr_q-0p05.nii.gz	
gain_demean	C0	Q0_all	S2	8	108	complete	outputs/group_maps/gain_demean_C0_Q0_S2_effect.nii.gz	outputs/group_maps/gain_demean_C0_Q0_S2_t.nii.gz	outputs/group_maps/gain_demean_C0_Q0_S2_fdr_q-0p05.nii.gz	
gain_demean	C0	Q1_lenient	S0	0	106	complete	outputs/group_maps/gain_demean_C0_Q1_S0_effect.nii.gz	outputs/group_maps/gain_demean_C0_Q1_S0_t.nii.gz	outputs/group_maps/gain_demean_C0_Q1_S0_fdr_q-0p05.nii.gz	
gain_demean	C0	Q1_lenient	S1	5	106	complete	outputs/group_maps/gain_demean_C0_Q1_S1_effect.nii.gz	outputs/group_maps/gain_demean_C0_Q1_S1_t.nii.gz	outputs/group_maps/gain_demean_C0_Q1_S1_fdr_q-0p05.nii.gz	
gain_demean	C0	Q1_lenient	S2	8	106	complete	outputs/group_maps/gain_demean_C0_Q1_S2_effect.nii.gz	outputs/group_maps/gain_demean_C0_Q1_S2_t.nii.gz	outputs/group_maps/gain_demean_C0_Q1_S2_fdr_q-0p05.nii.gz	
gain_demean	C0	Q2_strict	S0	0	103	complete	outputs/group_maps/gain_demean_C0_Q2_S0_effect.nii.gz	outputs/group_maps/gain_demean_C0_Q2_S0_t.nii.gz	outputs/group_maps/gain_demean_C0_Q2_S0_fdr_q-0p05.nii.gz	
gain_demean	C0	Q2_strict	S1	5	103	complete	outputs/group_maps/gain_demean_C0_Q2_S1_effect.nii.gz	outputs/group_maps/gain_demean_C0_Q2_S1_t.nii.gz	outputs/group_maps/gain_demean_C0_Q2_S1_fdr_q-0p05.nii.gz	
gain_demean	C0	Q2_strict	S2	8	103	complete	outputs/group_maps/gain_demean_C0_Q2_S2_effect.nii.gz	outputs/group_maps/gain_demean_C0_Q2_S2_t.nii.gz	outputs/group_maps/gain_demean_C0_Q2_S2_fdr_q-0p05.nii.gz	
gain_demean	C1	Q0_all	S0	0	108	complete	outputs/group_maps/gain_demean_C1_Q0_S0_effect.nii.gz	outputs/group_maps/gain_demean_C1_Q0_S0_t.nii.gz	outputs/group_maps/gain_demean_C1_Q0_S0_fdr_q-0p05.nii.gz	
gain_demean	C1	Q0_all	S1	5	108	complete	outputs/group_maps/gain_demean_C1_Q0_S1_effect.nii.gz	outputs/group_maps/gain_demean_C1_Q0_S1_t.nii.gz	outputs/group_maps/gain_demean_C1_Q0_S1_fdr_q-0p05.nii.gz	
gain_demean	C1	Q0_all	S2	8	108	complete	outputs/group_maps/gain_demean_C1_Q0_S2_effect.nii.gz	outputs/group_maps/gain_demean_C1_Q0_S2_t.nii.gz	outputs/group_maps/gain_demean_C1_Q0_S2_fdr_q-0p05.nii.gz	
gain_demean	C1	Q1_lenient	S0	0	106	complete	outputs/group_maps/gain_demean_C1_Q1_S0_effect.nii.gz	outputs/group_maps/gain_demean_C1_Q1_S0_t.nii.gz	outputs/group_maps/gain_demean_C1_Q1_S0_fdr_q-0p05.nii.gz	
gain_demean	C1	Q1_lenient	S1	5	106	complete	outputs/group_maps/gain_demean_C1_Q1_S1_effect.nii.gz	outputs/group_maps/gain_demean_C1_Q1_S1_t.nii.gz	outputs/group_maps/gain_demean_C1_Q1_S1_fdr_q-0p05.nii.gz	
