participant_id	task_version	run	raw_bold	events	preproc_bold_mni2mm	brain_mask_mni2mm	confounds	fitlins_run_design	n_volumes	event_rows	confound_rows	design_rows
sub-001	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-001	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-001	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-001	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-002	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-002	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-002	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-002	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-003	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-003	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-003	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-003	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-004	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-004	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-004	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-004	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-005	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-005	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-005	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-005	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-006	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-006	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-006	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-006	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-008	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-008	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-008	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-008	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-009	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-009	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-009	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-009	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-010	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-010	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-010	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-010	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-011	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-011	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-011	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-011	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-013	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-013	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-013	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-013	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-014	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-014	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-014	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-014	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-015	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-015	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-015	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-015	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-016	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-016	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-016	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-016	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-017	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-017	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-017	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-017	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-018	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-018	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-018	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-018	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-019	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-019	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-019	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-019	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-020	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-020	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-020	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-020	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-021	equalIndifference	1	True	True	True	True	True	True	453	384	453	453
sub-021	equalIndifference	2	True	True	True	True	True	True	453	384	453	453
sub-021	equalIndifference	3	True	True	True	True	True	True	453	384	453	453
sub-021	equalIndifference	4	True	True	True	True	True	True	453	384	453	453
sub-022	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-022	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-022	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-022	equalRange	4	True	True	True	True	True	True	453	384	453	453
sub-024	equalRange	1	True	True	True	True	True	True	453	384	453	453
sub-024	equalRange	2	True	True	True	True	True	True	453	384	453	453
sub-024	equalRange	3	True	True	True	True	True	True	453	384	453	453
sub-024	equalRange	4	True	True	True	True	True	True	453	384	453	453
