participant_id	task_version	checkpoint	checkpoint_sha256	elapsed_seconds	hostname	slurm_job_id	slurm_array_task_id	status
sub-001	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-001.npz	7f57893ca49313f2d05ffa0c60775c59548cb44b96d5136e8e81289c24fdf55b	617.7388753890991	sh03-06n08.int	39401155	0	complete
sub-002	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-002.npz	e5371404df48ee2e784a5443a62e6b61e3a57f0782d518e41e79f65e0cbb83a8	534.7457835674286	sh03-06n08.int	39401791	1	complete
sub-003	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-003.npz	6dbc89d582e807aeb99434cf744bf0bccb74d134d5f85130b2a9ffa47d2c2f3c	767.2442047595978	sh03-06n05.int	39401870	2	complete
sub-004	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-004.npz	782f5df300d8326e8ce8a1f3fbe89b0246c08e66c5eb26810514bfc9f1edc2a2	621.7119786739349	sh03-06n05.int	39401871	3	complete
sub-005	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-005.npz	e88d416dd57e0fd98a2ad8cdb0dd16a72f5772cff76b1911f477d770f0e97db0	564.7063074111938	sh04-04n22.int	39401902	4	complete
sub-006	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-006.npz	aa9e559d94386b770cc284a2f9724923a41b5eef84e766613877395989fb16c9	608.49999833107	sh03-06n06.int	39401903	5	complete
sub-008	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-008.npz	aa2b5cc54c30e1623006257aca714bb811c37c08538e7db1835983565f55b036	909.0405578613281	sh02-06n01.int	39401933	6	complete
sub-009	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-009.npz	344e287e22ecfac2cc2622738fecaae26cb270a30990cd527e46f5bad5252772	543.8069531917572	sh04-04n23.int	39401975	7	complete
sub-010	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-010.npz	0d1649cc71f9bbc9d7c7a428f5c12d07a0c3663839b1cfcff10f1159e2188dba	633.309000492096	sh03-06n08.int	39402057	8	complete
sub-011	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-011.npz	e64dceefc71819663702120b9463664f87ea8dbcf16225d8892c735d5853b81a	653.4569780826569	sh03-06n06.int	39402079	9	complete
sub-013	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-013.npz	e4ad357ff6ea9d8534de711fc91d3f1ae21f8bed67e7687dda3df74e408fc3d7	667.0526187419891	sh03-06n06.int	39402080	10	complete
sub-014	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-014.npz	bb8b8db489d1ee1f557dcc585d6ea38efae3449c4789a413bb197ed35695a6a6	662.086879491806	sh03-06n06.int	39402146	11	complete
sub-015	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-015.npz	14b1e4c64afe6b49609edea337a757717989b5946b70e5f12f10aa27e890d585	672.6218302249908	sh03-06n06.int	39402147	12	complete
sub-016	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-016.npz	91dbc2b123c993a8cce186371752374b275d3d75a42c913f4b34d37a71a8f755	685.8826868534088	sh03-06n08.int	39402156	13	complete
sub-017	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-017.npz	ff325bac831229c79da3e3c6612e226a942aeeb684cccd6ec402efa743f0df5c	803.7979488372803	sh02-06n01.int	39402157	14	complete
sub-018	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-018.npz	ca7554b3e9f93666e8223c5f4fd4cb480c80df37b52b220951072c2629e09eaa	677.1611251831055	sh04-04n24.int	39402199	15	complete
sub-019	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-019.npz	238cd2239079a42339abc8c74fe75136cf767b5f8c9bb49f4399ba6612d1539e	592.2513062953949	sh03-06n09.int	39402236	16	complete
sub-020	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-020.npz	96bcc1d54c51bfc711d0a147e87955eada6c45112aa2d5c498b84732de7324f7	602.8416907787323	sh03-06n09.int	39402268	17	complete
sub-021	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-021.npz	f180ad1e914351d99289c485ebbbfcefe09bcff7d3923199dd557bc01ef4d6c9	532.2423791885376	sh04-04n22.int	39402309	18	complete
sub-022	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-022.npz	38e2bb49d1bebb4b33523f4167b265e5c8cf03fe6dec311fa33c6b4b5b6c4934	627.6906642913818	sh03-06n05.int	39402310	19	complete
sub-024	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-024.npz	c9b774b4dcef878b999682955b0ee797a4cf4ce7e4b3bd26745cd582d0e5de0b	621.3690369129181	sh03-06n06.int	39402504	20	complete
