replicate	transition	base_qc	removed_ei	removed_er	removed_subjects	rng	seed	draw_order
1	Q0_to_Q1	Q0_all	0	2	sub-026;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
1	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-022;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
2	Q0_to_Q1	Q0_all	0	2	sub-102;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
2	Q1_to_Q2	Q1_lenient	0	3	sub-044;sub-064;sub-076	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
3	Q0_to_Q1	Q0_all	0	2	sub-022;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
3	Q1_to_Q2	Q1_lenient	0	3	sub-022;sub-066;sub-080	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
4	Q0_to_Q1	Q0_all	0	2	sub-022;sub-024	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
4	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-072;sub-116	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
5	Q0_to_Q1	Q0_all	0	2	sub-038;sub-096	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
5	Q1_to_Q2	Q1_lenient	0	3	sub-024;sub-072;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
6	Q0_to_Q1	Q0_all	0	2	sub-030;sub-106	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
6	Q1_to_Q2	Q1_lenient	0	3	sub-052;sub-088;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
7	Q0_to_Q1	Q0_all	0	2	sub-052;sub-080	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
7	Q1_to_Q2	Q1_lenient	0	3	sub-016;sub-060;sub-106	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
8	Q0_to_Q1	Q0_all	0	2	sub-006;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
8	Q1_to_Q2	Q1_lenient	0	3	sub-018;sub-088;sub-092	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
9	Q0_to_Q1	Q0_all	0	2	sub-060;sub-120	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
9	Q1_to_Q2	Q1_lenient	0	3	sub-024;sub-050;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
10	Q0_to_Q1	Q0_all	0	2	sub-066;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
10	Q1_to_Q2	Q1_lenient	0	3	sub-006;sub-076;sub-110	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
11	Q0_to_Q1	Q0_all	0	2	sub-072;sub-108	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
11	Q1_to_Q2	Q1_lenient	0	3	sub-008;sub-038;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
12	Q0_to_Q1	Q0_all	0	2	sub-044;sub-060	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
12	Q1_to_Q2	Q1_lenient	0	3	sub-032;sub-106;sub-120	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
13	Q0_to_Q1	Q0_all	0	2	sub-004;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
13	Q1_to_Q2	Q1_lenient	0	3	sub-020;sub-072;sub-080	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
14	Q0_to_Q1	Q0_all	0	2	sub-010;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
